Title,RatingTomatometer,No. of Reviews
The Innocents (1961),96,48
The Cabin in the Woods (2012),91,272
A Girl Walks Home Alone at Night (2014),96,122
Drag Me to Hell (2009),92,261
It (2017),85,339
Invasion of the Body Snatchers (1978),94,54
The Evil Dead (1981),95,59
The Endless (2018),95,111
Carrie (1976),93,60
Re-Animator (1985),95,58
Young Frankenstein (1974),93,57
The Loved Ones (2012),98,55
Nosferatu: Phantom der Nacht (Nosferatu the Vampyre) (1979),94,54
The Love Witch (2016),95,107
Room 237 (2013),94,128
Suspiria (1977),93,54
Train to Busan (Busanhaeng) (2016),95,97
A Nightmare on Elm Street (1984),94,50
Shaun of the Dead (2004),92,205
The Host (2007),93,151
Dracula (1931),91,46
The Fly (1986),92,59
Zombieland (2009),90,244
What Ever Happened to Baby Jane? (1962),92,50
CAM (2018),94,79
Eraserhead (1977),91,56
It Comes At Night (2017),87,226
Dawn of the Dead (1979),93,40
Don't Breathe (2016),88,217
Phantom Of The Opera (1925),91,46
We Are Still Here (2015),95,43
The Wicker Man (1973),90,49
Little Shop of Horrors (1986),90,51
The Texas Chainsaw Massacre (1974),88,59
Let Me In (2010),88,227
Upgrade (2018),87,166
Halloween (2018),79,323
The Blair Witch Project (1999),87,156
The Exorcist (1973),86,74
The Conjuring (2013),86,213
The Dead Zone (1983),90,42
Bone Tomahawk (2015),91,85
Misery (1990),89,65
The Shining (1980),86,73
Cronos (1994),90,51
The Orphanage (2007),87,177
28 Days Later (2003),86,225
Gerald's Game (2017),90,69
The Devil's Candy (2017),91,47
An American Werewolf in London (1981),88,51
Near Dark (1987),88,48
Poltergeist (1982),86,59
Henry: Portrait of a Serial Killer (1986),86,59
This Is the End (2013),83,221
Chronicle (2012),85,175
The Descent (2006),85,173
The Omen (1976),86,43
Donnie Darko: The Director's Cut (2004),90,42
Save the Green Planet (2004),90,40
Slither (2006),86,138
Ginger Snaps (2001),89,57
The Autopsy of Jane Doe (2016),87,98
A Field in England (2014),88,68
Backcountry (2015),89,46
"Goodnight Mommy (Ich seh, Ich seh) (2015)",85,140
Altered States (1980),86,43
The Thing (1982),84,61
Better Watch Out (2017),88,58
They Live (1988),85,60
The House of the Devil (2009),87,97
The Conjuring 2 (2016),80,240
The Others (2001),84,160
E.T. The Extra-Terrestrial (1982),98,125
My Fair Lady (1964),96,48
The Straight Story (1999),96,91
Hugo (2011),93,219
Enchanted (2007),93,189
Jason and the Argonauts (1963),93,42
The Secret of Roan Inish (1995),95,44
Harry Potter and the Prisoner of Azkaban (2004),90,255
Spy Kids (2001),93,127
How Green Was My Valley (1941),90,41
L'Heure d'été (Summer Hours) (2009),94,105
Pete's Dragon (2016),88,226
A Monster Calls (2017),86,247
Harry Potter and the Goblet of Fire (2005),88,249
That Thing You Do! (1996),93,57
Willy Wonka and the Chocolate Factory (1971),91,46
First Position (2012),93,73
Lassie (2006),93,68
Duma (2005),93,61
A Christmas Story (1983),89,56
The Sound of Music (1965),85,61
Millions (2005),88,160
Cinderella (2015),84,228
Disneynature Bears (2014),91,56
The Muppet Movie (1979),88,48
Harry Potter and the Half-Blood Prince (2009),83,272
The Karate Kid (1984),88,43
Freaky Friday (2003),87,151
Once (2007),97,156
West Side Story (1961),94,65
Amadeus (1984),94,86
Johnny Guitar (1954),95,44
What's Love Got To Do With It? (1993),96,53
Nashville (1975),92,53
The Full Monty (1997),96,47
Marley (2012),95,106
Hairspray (2007),91,217
Searching for Sugar Man (2012),94,125
Les Plages d'Agnès (The Beaches of Agnes) (2008),96,71
Festival Express (2003),96,80
"20,000 Days on Earth (2014)",95,84
Exit Through The Gift Shop (2010),95,110
Funny Girl (1968),93,44
Love & Mercy (2015),90,203
Born Into Brothels (2004),95,107
Pina (2011),95,102
Crumb (1995),95,43
Marina Abramovic: The Artist Is Present (2012),96,45
Los Angeles Plays Itself (2003),96,45
Straight Outta Compton (2015),88,227
Lost in La Mancha (2003),94,100
Lagaan: Once Upon a Time in India (2001),95,59
Hedwig and the Angry Inch (2001),93,108
Crazy Heart (2009),90,205
My Kid Could Paint That (2007),94,83
End of the Century: The Story of the Ramones (2004),95,62
The Wrecking Crew (2015),94,68
Dave Chappelle's Block Party (2006),92,125
The Filth and the Fury (2000),95,40
The Sapphires (2013),91,135
Sing Your Song (2012),95,40
A Band Called Death (2013),94,49
Florence Foster Jenkins (2016),87,211
My Architect (2004),93,91
Every Little Step (2009),92,96
U2 3D (2007),92,88
Sid and Nancy (1986),88,64
Scratch (2002),93,46
F for Fake (1974),88,50
Ballets Russes (2005),92,59
Standing in the Shadows of Motown (2002),91,92
